Model,Dataset,MAE,RMSE,R2,MAPE,Accuracy_5,Accuracy_10,Train_Time,Epochs
Linear Regression,FD001,34.156,44.501,0.567,1222904642.381,9.935,19.869,0.006,
Random Forest,FD001,29.714,41.539,0.622,161142565.18,19.045,32.13,1.098,
XGBoost,FD001,30.259,42.147,0.611,225165990.72,17.616,30.506,0.203,
SVR,FD001,29.317,41.795,0.618,151565046.594,18.585,31.088,5.719,
Linear Regression,FD002,34.712,44.917,0.57,1137067016.56,9.422,18.676,0.013,
Random Forest,FD002,31.68,43.175,0.603,218020369.081,15.634,27.018,4.896,
XGBoost,FD002,31.706,43.129,0.604,278861557.661,14.593,26.665,0.279,
SVR,FD002,33.787,45.52,0.558,811271811.136,9.868,20.461,46.007,
Linear Regression,FD003,46.614,63.173,0.593,2208331208.501,8.354,15.311,0.01,
Random Forest,FD003,40.75,59.48,0.639,112324126.129,15.534,26.659,2.123,
XGBoost,FD003,40.888,59.481,0.639,183367247.255,15.109,25.789,0.206,
SVR,FD003,39.949,60.675,0.624,94780683.627,16.566,28.054,8.644,
Linear Regression,FD004,46.141,60.291,0.548,2212716244.437,6.98,14.016,0.011,
Random Forest,FD004,39.969,55.473,0.617,273027439.357,12.514,23.192,6.683,
XGBoost,FD004,39.993,55.38,0.619,335875673.673,12.0,22.302,0.262,
SVR,FD004,45.14,62.119,0.52,905125156.96,8.278,16.58,54.434,
LSTM,FD001,11.422,16.006,0.931,,,,40.435,50.0
GRU,FD001,16.134,23.588,0.851,,,,36.685,50.0
CNN-LSTM,FD001,13.672,18.278,0.911,,,,20.551,50.0
Evolved-LSTM,FD001,14.164,21.017,0.882,,,,79.964,50.0
Evolved-GRU,FD001,16.047,23.666,0.85,,,,81.142,50.0
LSTM,FD002,14.375,19.813,0.898,,,,94.524,50.0
GRU,FD002,16.023,22.112,0.874,,,,86.645,50.0
CNN-LSTM,FD002,22.649,31.827,0.738,,,,47.679,50.0
Evolved-LSTM,FD002,9.378,12.756,0.958,,,,206.955,50.0
Evolved-GRU,FD002,9.025,12.256,0.961,,,,204.703,50.0
LSTM,FD003,18.228,28.384,0.905,,,,49.296,50.0
GRU,FD003,21.453,32.862,0.872,,,,44.683,50.0
CNN-LSTM,FD003,21.773,29.315,0.898,,,,23.355,50.0
Evolved-LSTM,FD003,17.645,29.26,0.899,,,,105.082,50.0
Evolved-GRU,FD003,21.566,33.214,0.87,,,,101.418,50.0
LSTM,FD004,20.913,28.518,0.879,,,,108.219,50.0
GRU,FD004,22.357,30.939,0.858,,,,104.507,50.0
CNN-LSTM,FD004,32.463,44.384,0.707,,,,58.442,50.0
Evolved-LSTM,FD004,14.122,20.107,0.94,,,,998.336,50.0
Evolved-GRU,FD004,16.122,22.822,0.923,,,,1715.104,50.0
